FIPS,county-state,sq_mi,land_sq_mi,water_sq_mi
21069,"Fleming, KY",351.47,350.84,0.62
45041,"Florence, SC",803.74,799.84,3.9
55037,"Florence, WI",497.46,488.03,9.43
13115,"Floyd, GA",518.46,513.13,5.33
19067,"Floyd, IA",501.31,500.56,0.74
18043,"Floyd, IN",148.31,148,0.31
21071,"Floyd, KY",395.46,394.29,1.16
48153,"Floyd, TX",992.51,992.19,0.32
51063,"Floyd, VA",381.23,381.22,0.01
51065,"Fluvanna, VA",290.21,287.37,2.84
48155,"Foard, TX",707.69,706.68,1.01
55039,"Fond du Lac, WI",765.8,722.91,42.89
17053,"Ford, IL",486.42,485.9,0.52
20057,"Ford, KS",1099.29,1098.5,0.79
42053,"Forest, PA",431.4,428.12,3.28
55041,"Forest, WI",1046.4,1014.05,32.34
28035,"Forrest, MS",470.17,466.58,3.59
13117,"Forsyth, GA",247.37,225.8,21.57
37067,"Forsyth, NC",412.92,409.6,3.32
48157,"Fort Bend, TX",886.05,874.64,11.41
38031,"Foster, ND",646.72,635.2,11.52
18045,"Fountain, IN",397.92,395.69,2.23
1059,"Franklin, AL",646.51,635.64,10.86
5047,"Franklin, AR",619.69,609.55,10.13
12037,"Franklin, FL",1037.48,544.34,493.14
13119,"Franklin, GA",266.37,263.29,3.07
19069,"Franklin, IA",583.01,582.44,0.57
16041,"Franklin, ID",668.36,665.43,2.92
17055,"Franklin, IL",431.4,412.08,19.32
18047,"Franklin, IN",391.34,386,5.33
20059,"Franklin, KS",576.65,573.85,2.8
21073,"Franklin, KY",212.11,210.46,1.65
22041,"Franklin, LA",635.43,623.61,11.82
25011,"Franklin, MA",724.74,702.03,22.71
23007,"Franklin, ME",1744.31,1697.81,46.5
29071,"Franklin, MO",930.65,922.81,7.84
28037,"Franklin, MS",566.74,564.6,2.14
37069,"Franklin, NC",494.59,492.02,2.57
31061,"Franklin, NE",576.11,575.92,0.19
36033,"Franklin, NY",1697.44,1631.49,65.95
39049,"Franklin, OH",543.32,539.87,3.45
42055,"Franklin, PA",772.63,771.92,0.71
47051,"Franklin, TN",575.77,554.52,21.25
48159,"Franklin, TX",294.77,285.66,9.12
51067,"Franklin, VA",711.56,692.08,19.48
50011,"Franklin, VT",692.02,637.07,54.95
53021,"Franklin, WA",1265.35,1242.4,22.95
24021,"Frederick, MD",667.34,662.88,4.46
51069,"Frederick, VA",415.62,414.63,1
51630,"Fredericksburg, VA",10.52,10.52,0
27047,"Freeborn, MN",722.63,707.64,14.99
48161,"Freestone, TX",892.13,877.43,14.7
8043,"Fremont, CO",1533.95,1532.93,1.02
19071,"Fremont, IA",516.76,511.08,5.68
16043,"Fremont, ID",1895.59,1866.76,28.84
56013,"Fremont, WY",9265.8,9182.27,83.53
6019,"Fresno, CA",6017.42,5962.73,54.7
48163,"Frio, TX",1134.28,1133.02,1.26
31063,"Frontier, NE",980.06,974.55,5.51
5049,"Fulton, AR",620.31,618.16,2.16
13121,"Fulton, GA",534.61,528.66,5.95
17057,"Fulton, IL",882.59,865.62,16.97
18049,"Fulton, IN",371.37,368.51,2.87
21075,"Fulton, KY",230.55,208.95,21.6
36035,"Fulton, NY",532.9,496.17,36.73
39051,"Fulton, OH",407.32,406.78,0.54
42057,"Fulton, PA",438.03,437.57,0.46
31065,"Furnas, NE",720.51,718.09,2.42
12039,"Gadsden, FL",528.49,516.13,12.35
31067,"Gage, NE",859.94,855.29,4.65
48165,"Gaines, TX",1502.84,1502.35,0.49
51640,"Galax, VA",8.23,8.23,0
17059,"Gallatin, IL",328.41,323.73,4.68
21077,"Gallatin, KY",104.67,98.81,5.87
30031,"Gallatin, MT",2631.84,2605.84,26
39053,"Gallia, OH",471.13,468.78,2.36
48167,"Galveston, TX",872.93,398.47,474.46
31069,"Garden, NE",1731,1704.4,26.6
8045,"Garfield, CO",2955.76,2947.06,8.7
30033,"Garfield, MT",4847.54,4668.06,179.48
31071,"Garfield, NE",571.34,570.03,1.31
40047,"Garfield, OK",1059.94,1058.39,1.55
49017,"Garfield, UT",5208.2,5174.22,33.98
53023,"Garfield, WA",718.19,710.55,7.64
5051,"Garland, AR",734.57,677.22,57.35
21079,"Garrard, KY",233.88,231.21,2.67
24023,"Garrett, MD",655.9,647.96,7.94
40049,"Garvin, OK",813.66,807.49,6.18
48169,"Garza, TX",896.19,895.56,0.63
29073,"Gasconade, MO",526.09,520.67,5.43
37071,"Gaston, NC",363.54,356.21,7.33
37073,"Gates, NC",345.6,340.61,5
20061,"Geary, KS",404.39,384.69,19.7
39055,"Geauga, OH",408.29,403.66,4.63
16045,"Gem, ID",565.75,562.58,3.17
26049,"Genesee, MI",649.34,639.64,9.7
36037,"Genesee, NY",495.33,494.11,1.22
1061,"Geneva, AL",578.9,576.28,2.62
29075,"Gentry, MO",491.81,491.52,0.29
28039,"George, MS",483.63,478.29,5.34
45043,"Georgetown, SC",1035,814.83,220.16
18051,"Gibson, IN",499.05,488.78,10.27
47053,"Gibson, TN",603.59,602.67,0.92
4007,"Gila, AZ",4795.74,4767.7,28.03
12041,"Gilchrist, FL",355.47,348.89,6.58
47055,"Giles, TN",611.17,610.93,0.25
51071,"Giles, VA",360.4,357.33,3.07
48171,"Gillespie, TX",1061.48,1061.06,0.42
41021,"Gilliam, OR",1222.84,1204.07,18.77
13123,"Gilmer, GA",431.83,426.69,5.14
54021,"Gilmer, WV",340.07,340.05,0.02
8047,"Gilpin, CO",150.25,149.87,0.39
30035,"Glacier, MT",3037.11,2994.72,42.39
12043,"Glades, FL",986.43,773.64,212.79
26051,"Gladwin, MI",516.43,506.8,9.63
13125,"Glascock, GA",144.45,144.14,0.31
48173,"Glasscock, TX",900.93,900.75,0.19
6021,"Glenn, CA",1327.16,1314.79,12.36
34015,"Gloucester, NJ",336.92,324.72,12.2
51073,"Gloucester, VA",288,216.61,71.39
13127,"Glynn, GA",585.17,422.37,162.8
26053,"Gogebic, MI",1476.43,1101.86,374.57
30037,"Golden Valley, MT",1176.4,1175.3,1.1
38033,"Golden Valley, ND",1002.36,1001.99,0.37
48175,"Goliad, TX",859.35,853.52,5.83
48177,"Gonzales, TX",1069.82,1067.75,2.07
51075,"Goochland, VA",289.99,284.43,5.56
27049,"Goodhue, MN",780.44,758.27,22.17
16047,"Gooding, ID",733.84,730.78,3.06
13129,"Gordon, GA",358.01,355.54,2.48
56015,"Goshen, WY",2232.16,2225.32,6.84
31073,"Gosper, NE",462.74,458.18,4.57
20063,"Gove, KS",1071.47,1071.38,0.09
13131,"Grady, GA",460.34,458.12,2.22
40051,"Grady, OK",1105.3,1100.96,4.34
33009,"Grafton, NH",1750.08,1713.33,36.75
4009,"Graham, AZ",4641.14,4629.32,11.83
20065,"Graham, KS",898.67,898.29,0.38
37075,"Graham, NC",301.6,292.07,9.53
47057,"Grainger, TN",302.44,280.33,22.11
38035,"Grand Forks, ND",1439.83,1437.81,2.02
50013,"Grand Isle, VT",194.67,82.62,112.06
26055,"Grand Traverse, MI",601.13,465.07,136.06
8049,"Grand, CO",1869.6,1846.67,22.93
49019,"Grand, UT",3694.08,3681.56,12.52
30039,"Granite, MT",1733.11,1727.44,5.67
5053,"Grant, AR",633.01,631.78,1.23
18053,"Grant, IN",414.83,414.03,0.81
20067,"Grant, KS",575.04,574.86,0.18
21081,"Grant, KY",260.79,259.93,0.86
22043,"Grant, LA",664.56,645.11,19.45
27051,"Grant, MN",575.18,546.41,28.77
38037,"Grant, ND",1665.92,1659.46,6.46
31075,"Grant, NE",783.23,776.22,7
35017,"Grant, NM",3967.5,3965.88,1.62
40053,"Grant, OK",1003.61,1000.56,3.05
41023,"Grant, OR",4529.32,4528.6,0.71
46051,"Grant, SD",687.91,682.51,5.4
53025,"Grant, WA",2791.29,2681.06,110.23
55043,"Grant, WI",1183.31,1147.85,35.46
54023,"Grant, WV",480.19,477.21,2.99
37077,"Granville, NC",536.56,531.12,5.45
26057,"Gratiot, MI",571.61,570.13,1.48
21083,"Graves, KY",556.46,555.59,0.87
20069,"Gray, KS",869.34,868.9,0.44
48179,"Gray, TX",929.25,928.28,0.97
53027,"Grays Harbor, WA",2224.44,1916.89,307.55
21085,"Grayson, KY",510.85,503.68,7.17
48181,"Grayson, TX",979.19,933.51,45.68
51077,"Grayson, VA",445.9,442.64,3.26
20071,"Greeley, KS",778.01,778.01,0
31077,"Greeley, NE",570.71,569.85,0.85
55047,"Green Lake, WI",380.44,354.28,26.15
21087,"Green, KY",288.78,288.66,0.12
55045,"Green, WI",584.56,583.99,0.58
54025,"Greenbrier, WV",1024.43,1021.26,3.17
1063,"Greene, AL",659.93,645.87,14.07
5055,"Greene, AR",579.65,577.51,2.14
13133,"Greene, GA",406.24,388.28,17.96
19073,"Greene, IA",571.13,568.41,2.72
17061,"Greene, IL",546.34,543.09,3.25
18055,"Greene, IN",545.91,541.73,4.18
29077,"Greene, MO",677.8,674.97,2.82
28041,"Greene, MS",718.69,712.82,5.87
37079,"Greene, NC",265.89,265.4,0.49
36039,"Greene, NY",658.13,647.75,10.38
39057,"Greene, OH",416.21,414.88,1.34
42059,"Greene, PA",577.95,575.86,2.09
47059,"Greene, TN",624.11,621.69,2.42
51079,"Greene, VA",156.96,156.58,0.39
4011,"Greenlee, AZ",1848.42,1847,1.42
51081,"Greensville, VA",296.81,295.44,1.37
21089,"Greenup, KY",354.51,346.11,8.41
45045,"Greenville, SC",794.96,790.08,4.88
20073,"Greenwood, KS",1152.59,1139.67,12.92
45047,"Greenwood, SC",462.94,455.52,7.42
40055,"Greer, OK",643.66,639.36,4.3
48183,"Gregg, TX",276.37,274.03,2.34
46053,"Gregory, SD",1053.45,1015.93,37.51
28043,"Grenada, MS",449.38,421.79,27.58
38039,"Griggs, ND",716.17,708.5,7.67
48185,"Grimes, TX",801.16,793.6,7.56
19075,"Grundy, IA",502.55,502.51,0.03
17063,"Grundy, IL",430.42,419.9,10.52
29079,"Grundy, MO",437.98,435.82,2.16
47061,"Grundy, TN",361.14,360.56,0.58
35019,"Guadalupe, NM",3031.58,3030.37,1.2
48187,"Guadalupe, TX",714.17,711.14,3.03
39059,"Guernsey, OH",528.29,521.9,6.39
37081,"Guilford, NC",657.7,649.42,8.28
12045,"Gulf, FL",744.59,554.6,190
8051,"Gunnison, CO",3259.75,3238.81,20.93
19077,"Guthrie, IA",593.06,590.6,2.46
13135,"Gwinnett, GA",436.72,432.73,3.99
46055,"Haakon, SD",1827.22,1812.97,14.26
13137,"Habersham, GA",279.2,278.17,1.03
2100,"Haines, AK",2725.82,2343.73,382.09
1065,"Hale, AL",656.47,643.74,12.74
48189,"Hale, TX",1004.77,1004.65,0.12
37083,"Halifax, NC",731.35,725.36,5.99
51083,"Halifax, VA",829.56,819.3,10.27
13139,"Hall, GA",429.19,393.66,35.53
31079,"Hall, NE",552.22,546.4,5.83
48191,"Hall, TX",904.08,903.09,0.99
47063,"Hamblen, TN",175.77,161.03,14.74
12047,"Hamilton, FL",519.31,514.86,4.45
19079,"Hamilton, IA",577.44,576.68,0.76
17065,"Hamilton, IL",435.84,435.16,0.67
18057,"Hamilton, IN",402.73,397.94,4.79
20075,"Hamilton, KS",997.62,996.49,1.13
31081,"Hamilton, NE",546.77,543.68,3.09
36041,"Hamilton, NY",1807.81,1720.39,87.41
39061,"Hamilton, OH",412.78,407.36,5.42
47065,"Hamilton, TN",575.72,542.44,33.28
48193,"Hamilton, TX",836.38,835.71,0.67
46057,"Hamlin, SD",537.96,506.86,31.1
25013,"Hampden, MA",634.12,618.4,15.71
25015,"Hampshire, MA",545.44,529.03,16.41
54027,"Hampshire, WV",644.62,641.72,2.9
45049,"Hampton, SC",562.63,559.78,2.85
51650,"Hampton, VA",136.23,51.78,84.45
13141,"Hancock, GA",478.76,473.28,5.48
19081,"Hancock, IA",573.14,571.11,2.03
17067,"Hancock, IL",814.54,794.62,19.92
18059,"Hancock, IN",306.73,306.12,0.61
21091,"Hancock, KY",198.92,188.8,10.12
23009,"Hancock, ME",2351.03,1587.7,763.33
28045,"Hancock, MS",552.53,476.88,75.65
39063,"Hancock, OH",533.6,531.35,2.24
47067,"Hancock, TN",223.5,222.29,1.21
54029,"Hancock, WV",88.35,82.82,5.53
46059,"Hand, SD",1440.21,1436.58,3.63
51085,"Hanover, VA",474.08,472.68,1.4
48195,"Hansford, TX",920.4,919.8,0.6
46061,"Hanson, SD",435.64,434.76,0.87
13143,"Haralson, GA",283.16,282.11,1.05
12049,"Hardee, FL",638.33,637.3,1.03
47069,"Hardeman, TN",670.39,667.55,2.84
48197,"Hardeman, TX",697,695.38,1.62
19083,"Hardin, IA",569.93,569.26,0.68
17069,"Hardin, IL",181.53,178.33,3.2
21093,"Hardin, KY",629.86,627.98,1.88
39065,"Hardin, OH",470.54,470.29,0.25
47071,"Hardin, TN",596.31,577.86,18.45
48199,"Hardin, TX",897.37,894.33,3.04
35021,"Harding, NM",2125.95,2125.34,0.61
46063,"Harding, SD",2677.58,2670.5,7.08
54031,"Hardy, WV",584.48,583.39,1.09
24025,"Harford, MD",526.72,440.35,86.37
21095,"Harlan, KY",467.97,467.2,0.78
31083,"Harlan, NE",574.18,552.78,21.4
40057,"Harmon, OK",538.56,537.82,0.74
37085,"Harnett, NC",601.3,595.01,6.29
41025,"Harney, OR",10226.49,10134.33,92.16
20077,"Harper, KS",802.95,801.44,1.51
40059,"Harper, OK",1040.96,1039,1.96
13145,"Harris, GA",472.93,463.69,9.24
48201,"Harris, TX",1777.69,1728.83,48.87
19085,"Harrison, IA",700.93,696.72,4.2
18061,"Harrison, IN",486.88,485.22,1.66
21097,"Harrison, KY",309.88,309.68,0.2
29081,"Harrison, MO",726.45,725.13,1.32
28047,"Harrison, MS",976.15,580.98,395.17
39067,"Harrison, OH",410.79,403.53,7.26
48203,"Harrison, TX",915.09,898.71,16.38
54033,"Harrison, WV",416.6,416.04,0.56
51660,"Harrisonburg, VA",17.59,17.56,0.03
13147,"Hart, GA",256.42,232.21,24.21
21099,"Hart, KY",417.91,415.93,1.98
9003,"Hartford, CT",750.57,735.44,15.13
48205,"Hartley, TX",1463.2,1462.25,0.95
20079,"Harvey, KS",540.5,539.33,1.17
20081,"Haskell, KS",577.73,577.37,0.36
40061,"Haskell, OK",625.27,577.03,48.24
48207,"Haskell, TX",910.25,902.97,7.29
15001,"Hawaii, HI",5086.7,4028.02,1058.69
47073,"Hawkins, TN",499.63,486.66,12.97
31085,"Hayes, NE",713.33,713.11,0.22
48209,"Hays, TX",679.79,677.87,1.92
37087,"Haywood, NC",554.62,553.66,0.96
47075,"Haywood, TN",534.15,533.2,0.95
13149,"Heard, GA",301.08,296.03,5.06
48211,"Hemphill, TX",912.06,909.68,2.38
5057,"Hempstead, AR",741.36,728.77,12.59
17071,"Henderson, IL",395.12,378.81,16.31
21101,"Henderson, KY",467.24,440.12,27.11
37089,"Henderson, NC",375.04,374,1.04
47077,"Henderson, TN",525.91,520.02,5.89
48213,"Henderson, TX",949,874.24,74.76
18063,"Hendricks, IN",408.88,408.39,0.48
12051,"Hendry, FL",1189.79,1152.53,37.26
27053,"Hennepin, MN",606.38,556.62,49.77
51087,"Henrico, VA",244.6,238.06,6.54
1067,"Henry, AL",568.33,561.8,6.53
13151,"Henry, GA",324.48,322.71,1.77
19087,"Henry, IA",436.68,434.44,2.24
17073,"Henry, IL",825.6,823.21,2.38
18065,"Henry, IN",394.9,392.93,1.97
21103,"Henry, KY",291.11,289.32,1.79
29083,"Henry, MO",732.55,702.48,30.07
39069,"Henry, OH",419.98,416.5,3.47
47079,"Henry, TN",593.45,561.68,31.77
51089,"Henry, VA",384.39,382.35,2.04
36043,"Herkimer, NY",1458.35,1411.25,47.1
12053,"Hernando, FL",589.08,478.31,110.77
37091,"Hertford, NC",360.42,353.26,7.16
38041,"Hettinger, ND",1133.7,1132.25,1.45
21105,"Hickman, KY",252.94,244.44,8.49
47081,"Hickman, TN",612.7,612.52,0.18
29085,"Hickory, MO",411.74,398.63,13.11
35023,"Hidalgo, NM",3445.91,3445.63,0.28
48215,"Hidalgo, TX",1582.66,1569.75,12.92
39071,"Highland, OH",557.84,553.28,4.56
51091,"Highland, VA",415.86,415.86,0
12055,"Highlands, FL",1106.28,1028.27,78.01
30041,"Hill, MT",2916.05,2896.36,19.69
48217,"Hill, TX",985.65,962.36,23.29
12057,"Hillsborough, FL",1266.22,1050.91,215.31
33011,"Hillsborough, NH",892.2,876.36,15.84
26059,"Hillsdale, MI",607.14,598.84,8.3
28049,"Hinds, MS",877.35,869.18,8.16
8053,"Hinsdale, CO",1123.14,1117.68,5.46
31087,"Hitchcock, NE",718.57,710.03,8.54
39073,"Hocking, OH",423.6,422.75,0.85
48219,"Hockley, TX",908.55,908.28,0.27
20083,"Hodgeman, KS",860.24,859.92,0.32
37093,"Hoke, NC",392.34,391.21,1.12
12059,"Holmes, FL",488.71,482.45,6.26
28051,"Holmes, MS",764.18,756,8.18
39075,"Holmes, OH",424.02,422.99,1.03
29087,"Holt, MO",469.05,461.87,7.18
31089,"Holt, NE",2417.65,2412.66,4.99
15003,"Honolulu, HI",2126.85,599.77,1527.08
41027,"Hood River, OR",533.56,522.35,11.21
48221,"Hood, TX",436.8,421.61,15.19
31091,"Hooker, NE",721.51,721.17,0.34
2105,"Hoonah-Angoon, AK",11376.73,7896.48,3480.25
51670,"Hopewell, VA",10.82,10.24,0.58
21107,"Hopkins, KY",554.23,550.56,3.67
48223,"Hopkins, TX",792.74,782.4,10.35
45051,"Horry, SC",1254.96,1133.68,121.28
5059,"Hot Spring, AR",622.16,614.93,7.22
56017,"Hot Springs, WY",2006.21,2003.89,2.32
26061,"Houghton, MI",1501.56,1011.72,489.84
1069,"Houston, AL",581.65,580.36,1.29
13153,"Houston, GA",379.83,376.75,3.08
27055,"Houston, MN",568.91,558.41,10.5
47083,"Houston, TN",206.92,200.21,6.71
48225,"Houston, TX",1236.83,1230.89,5.94
5061,"Howard, AR",595.2,587.42,7.78
19089,"Howard, IA",473.76,473.4,0.36
18067,"Howard, IN",293.93,293.07,0.86
24027,"Howard, MD",253.55,252.04,1.51
29089,"Howard, MO",470.55,465.74,4.82
31093,"Howard, NE",575.74,569.47,6.27
48227,"Howard, TX",904.19,902.84,1.36
29091,"Howell, MO",928.33,927.74,0.59
27057,"Hubbard, MN",999.39,922.46,76.93
34017,"Hudson, NJ",62.43,46.69,15.74
48229,"Hudspeth, TX",4571.93,4571,0.93
8055,"Huerfano, CO",1593.24,1590.87,2.38
40063,"Hughes, OK",814.64,806.73,7.9
46065,"Hughes, SD",800.29,740.92,59.37
6023,"Humboldt, CA",4052.22,3572.49,479.74
19091,"Humboldt, IA",435.73,434.41,1.31
32013,"Humboldt, NV",9657.87,9647.91,9.96
28053,"Humphreys, MS",431.16,418.09,13.07
47085,"Humphreys, TN",556.72,532.22,24.5
48231,"Hunt, TX",882.02,841.16,40.87
34019,"Hunterdon, NJ",437.76,429.94,7.82
42061,"Huntingdon, PA",889.03,874.05,14.98
18069,"Huntington, IN",387.94,382.59,5.35
26063,"Huron, MI",2136.47,836.52,1299.95
39077,"Huron, OH",494.52,492.69,1.83
46067,"Hutchinson, SD",814.37,812.82,1.55
48233,"Hutchinson, TX",894.95,887.37,7.58
37095,"Hyde, NC",1424,612.8,811.2
46069,"Hyde, SD",866.59,860.97,5.62
22045,"Iberia, LA",1030.86,575.13,455.73
22047,"Iberville, LA",652.84,618.64,34.2
19093,"Ida, IA",432.23,431.71,0.52
16049,"Idaho, ID",8502.48,8484.88,17.59
6025,"Imperial, CA",4481.73,4174.73,307
5063,"Independence, AR",771.57,763.78,7.79
12061,"Indian River, FL",616.92,503.23,113.69
42063,"Indiana, PA",834.29,829.27,5.02
26065,"Ingham, MI",560.94,559.19,1.75
6027,"Inyo, CA",10226.98,10203.1,23.88
26067,"Ionia, MI",580.23,573.21,7.02
26069,"Iosco, MI",1890.77,549.11,1341.66
19095,"Iowa, IA",587.35,586.45,0.9
55049,"Iowa, WI",768.08,762.67,5.41
37097,"Iredell, NC",597.01,575.57,21.44
48235,"Irion, TX",1051.59,1051.48,0.11
26071,"Iron, MI",1211.02,1166.36,44.67
29093,"Iron, MO",552.05,551.34,0.71
49021,"Iron, UT",3301.84,3297.98,3.87
55051,"Iron, WI",919.24,757.23,162.01
17075,"Iroquois, IL",1118.03,1116.43,1.6
13155,"Irwin, GA",362.73,356.81,5.92
26073,"Isabella, MI",577.75,574.27,3.48
27059,"Isanti, MN",451.87,439.07,12.81
53029,"Island, WA",517.39,208.43,308.95
51093,"Isle of Wight, VA",362.76,315.87,46.89
28055,"Issaquena, MS",441.36,413.06,28.3
27061,"Itasca, MN",2927.78,2665.06,262.72
28057,"Itawamba, MS",540.42,532.31,8.11
5065,"Izard, AR",584.02,580.68,3.34
48237,"Jack, TX",920.11,916.61,3.5
1071,"Jackson, AL",1126.77,1078.74,48.02
5067,"Jackson, AR",641.45,633.52,7.92
8057,"Jackson, CO",1620.95,1613.21,7.74
12063,"Jackson, FL",954.58,915.64,38.94
13157,"Jackson, GA",343,342.36,0.64
19097,"Jackson, IA",649.75,636.09,13.66
17077,"Jackson, IL",602.53,588.12,14.4
18071,"Jackson, IN",513.75,509.31,4.44
20085,"Jackson, KS",657.86,655.59,2.27
21109,"Jackson, KY",346.57,346.33,0.24
22049,"Jackson, LA",580.34,569.75,10.59
26075,"Jackson, MI",723.76,706.6,17.17
27063,"Jackson, MN",719.46,701.69,17.76
29095,"Jackson, MO",616.41,604.84,11.57
28059,"Jackson, MS",1043.3,726.9,316.4
37099,"Jackson, NC",494.5,490.71,3.79
39079,"Jackson, OH",421.5,420.28,1.22
40065,"Jackson, OK",804.15,802.68,1.47
41029,"Jackson, OR",2801.77,2785.19,16.57
46071,"Jackson, SD",1871.24,1869.13,2.12
47087,"Jackson, TN",319.56,308.88,10.67
48239,"Jackson, TX",857.03,829.49,27.54
55053,"Jackson, WI",1000.11,987.32,12.79
54035,"Jackson, WV",471.59,465.79,5.8
51095,"James City, VA",179.71,142.92,36.79
13159,"Jasper, GA",373.58,370.42,3.16
19099,"Jasper, IA",732.93,729.99,2.94
17079,"Jasper, IL",498.02,494.4,3.62
18073,"Jasper, IN",561.22,559.87,1.36
29097,"Jasper, MO",641.32,639.73,1.59
28061,"Jasper, MS",677.44,676,1.44
45053,"Jasper, SC",699.79,656.12,43.67
48241,"Jasper, TX",969.62,937.4,32.22
18075,"Jay, IN",383.82,383.64,0.18
13161,"Jeff Davis, GA",335.42,333.38,2.04
48243,"Jeff Davis, TX",2264.6,2264.43,0.18
22053,"Jefferson Davis, LA",658.58,652.31,6.26
28065,"Jefferson Davis, MS",409.1,408.41,0.7
1073,"Jefferson, AL",1123.8,1112.61,11.2
5069,"Jefferson, AR",913.7,884.82,28.88
8059,"Jefferson, CO",778.06,772.09,5.97
12065,"Jefferson, FL",636.65,597.74,38.91
13163,"Jefferson, GA",529.56,527.65,1.91
19101,"Jefferson, IA",436.72,435.34,1.38
16051,"Jefferson, ID",1105.55,1095.08,10.47
17081,"Jefferson, IL",583.71,570.96,12.76
18077,"Jefferson, IN",362.94,361.37,1.58
20087,"Jefferson, KS",556.94,536.11,20.83
21111,"Jefferson, KY",398.58,385.09,13.49
22051,"Jefferson, LA",642.41,306.52,335.89
29099,"Jefferson, MO",664.09,656.8,7.29
28063,"Jefferson, MS",527.19,519.39,7.81
30043,"Jefferson, MT",1658.83,1656.64,2.19
31095,"Jefferson, NE",575.5,573.01,2.48
36045,"Jefferson, NY",1857.08,1272.2,584.88
39081,"Jefferson, OH",410.87,409.61,1.27
40067,"Jefferson, OK",773.83,758.75,15.07
41031,"Jefferson, OR",1791.17,1780.78,10.38
42065,"Jefferson, PA",656.87,655.48,1.39
47089,"Jefferson, TN",314.33,273.81,40.51
48245,"Jefferson, TX",1111.26,903.55,207.71
53031,"Jefferson, WA",2183.52,1814.23,369.29
55055,"Jefferson, WI",582.75,557.01,25.73
54037,"Jefferson, WV",211.57,209.53,2.03
13165,"Jenkins, GA",352.45,349.81,2.64
18079,"Jennings, IN",378.35,377.22,1.13
46073,"Jerauld, SD",532.63,529.91,2.72
16053,"Jerome, ID",601.87,599.84,2.03
17083,"Jersey, IL",377.02,369.16,7.86
21113,"Jessamine, KY",174.45,173.13,1.32
20089,"Jewell, KS",914.47,909.18,5.29
48247,"Jim Hogg, TX",1136.16,1136.11,0.05
48249,"Jim Wells, TX",868.22,864.52,3.71
17085,"Jo Daviess, IL",618.72,601.08,17.64
5071,"Johnson, AR",682.74,662.17,20.57
13167,"Johnson, GA",306.52,304.26,2.26
19103,"Johnson, IA",623.35,614.48,8.87
17087,"Johnson, IL",348.88,344.63,4.25
18081,"Johnson, IN",321.56,320.19,1.36
20091,"Johnson, KS",480.15,476.78,3.37
21115,"Johnson, KY",263.94,261.54,2.4
29101,"Johnson, MO",833.03,830.44,2.59
31097,"Johnson, NE",376.82,376.13,0.69
47091,"Johnson, TN",302.73,298.47,4.26
48251,"Johnson, TX",734.46,729.42,5.03
56019,"Johnson, WY",4174.71,4166.28,8.42
37101,"Johnston, NC",795.79,791.85,3.94
40069,"Johnston, OK",658.29,644.5,13.78
13169,"Jones, GA",395.39,393.75,1.64
19105,"Jones, IA",576.7,575.31,1.39
28067,"Jones, MS",699.73,693.82,5.91
37103,"Jones, NC",473.32,471.88,1.44
46075,"Jones, SD",971.66,970.52,1.14
48253,"Jones, TX",937.13,930.99,6.14
41033,"Josephine, OR",1641.63,1639.59,2.04
49023,"Juab, UT",3406.28,3391.74,14.54
30045,"Judith Basin, MT",1870.71,1869.85,0.86
2110,"Juneau, AK",3255.01,2716.67,538.34
55057,"Juneau, WI",804.13,767.61,36.53
42067,"Juniata, PA",393.57,391.59,1.98
26077,"Kalamazoo, MI",580.18,561.86,18.32
15005,"Kalawao, HI",52.33,13.21,39.12
26079,"Kalkaska, MI",570.76,561.02,9.75
27065,"Kanabec, MN",533.38,524.93,8.45
54039,"Kanawha, WV",910.99,903.1,7.89
27067,"Kandiyohi, MN",861.97,796.06,65.92
17089,"Kane, IL",524.08,520.44,3.64
49025,"Kane, UT",4108.42,3991.96,116.46
17091,"Kankakee, IL",681.44,676.75,4.7
48255,"Karnes, TX",753.58,750.32,3.27
15007,"Kauai, HI",1266.37,622.44,643.93
48257,"Kaufman, TX",806.81,786.04,20.76
40071,"Kay, OK",945.12,918.7,26.42
31099,"Kearney, NE",516.13,516.03,0.11
20093,"Kearny, KS",871.5,871.06,0.44
31101,"Keith, NE",1109.77,1061.26,48.51
28069,"Kemper, MS",767,766.13,0.87
2122,"Kenai Peninsula, AK",24754.6,16013.26,8741.34
17093,"Kendall, IL",322.67,320.58,2.09
48259,"Kendall, TX",663.04,662.44,0.6
48261,"Kenedy, TX",1945.6,1456.77,488.83
23011,"Kennebec, ME",951.18,867.58,83.6
55059,"Kenosha, WI",754.31,272.83,481.48
10001,"Kent, DE",800.12,589.72,210.4
24029,"Kent, MD",414.31,279.43,134.87
26081,"Kent, MI",872.18,856.17,16.01
44003,"Kent, RI",188.1,170.17,17.92
48263,"Kent, TX",902.91,902.33,0.58
21117,"Kenton, KY",164.38,161.97,2.42
19107,"Keokuk, IA",579.94,579.19,0.75
6029,"Kern, CA",8161.42,8140.96,20.46
48265,"Kerr, TX",1107.66,1106.12,1.54
45055,"Kershaw, SC",740.25,726.26,14
2130,"Ketchikan Gateway, AK",1753.98,1233.22,520.75
55061,"Kewaunee, WI",1084.52,342.64,741.89
26083,"Keweenaw, MI",5965.96,540.97,5424.98
31103,"Keya Paha, NE",774.17,773.29,0.89
38043,"Kidder, ND",1433.21,1350.79,82.42
31105,"Kimball, NE",952.31,951.72,0.58
48267,"Kimble, TX",1250.92,1250.7,0.23
51097,"King and Queen, VA",326.33,316.26,10.06
