FIPS,county-state,sq_mi,land_sq_mi,water_sq_mi
41005,"Clackamas, OR",1879.01,1868.17,10.83
22027,"Claiborne, LA",767.55,754.65,12.9
28021,"Claiborne, MS",501.36,486.77,14.59
47025,"Claiborne, TN",441.55,434.28,7.27
53009,"Clallam, WA",2670.34,1739.45,930.89
26035,"Clare, MI",575.22,566.8,8.42
45027,"Clarendon, SC",695.66,607.21,88.46
42031,"Clarion, PA",608.95,602.44,6.51
5019,"Clark, AR",882.6,865.43,17.17
16033,"Clark, ID",1765.21,1764.63,0.58
17023,"Clark, IL",504.88,501.5,3.38
18019,"Clark, IN",376.2,375.04,1.16
20025,"Clark, KS",977.2,974.68,2.52
21049,"Clark, KY",255.16,254.31,0.85
29045,"Clark, MO",511.9,507.31,4.59
32003,"Clark, NV",8090.66,7910.34,180.32
39023,"Clark, OH",403.56,399.86,3.7
46025,"Clark, SD",967.79,957.92,9.87
53011,"Clark, WA",656.22,628.22,27.99
55019,"Clark, WI",1219.08,1215.64,3.44
1025,"Clarke, AL",1252.51,1238.38,14.13
13059,"Clarke, GA",121.28,120.79,0.49
19039,"Clarke, IA",431.72,431.12,0.6
28023,"Clarke, MS",693.41,691.27,2.14
51043,"Clarke, VA",178.19,176.62,1.57
41007,"Clatsop, OR",1084.75,827.23,257.52
1027,"Clay, AL",606,605.07,0.93
5021,"Clay, AR",641.42,639.3,2.12
12019,"Clay, FL",643.69,601.11,42.59
13061,"Clay, GA",216.99,195.21,21.79
19041,"Clay, IA",572.51,568.89,3.63
17025,"Clay, IL",469.84,469.25,0.59
18021,"Clay, IN",360.39,357.62,2.78
20027,"Clay, KS",655.44,643.84,11.6
21051,"Clay, KY",471.08,471.01,0.07
27027,"Clay, MN",1052.74,1045.24,7.49
29047,"Clay, MO",408.86,396.35,12.52
28025,"Clay, MS",416.02,408.56,7.46
37043,"Clay, NC",220.6,214.7,5.89
31035,"Clay, NE",573.53,573.03,0.49
46027,"Clay, SD",416.7,411.6,5.1
47027,"Clay, TN",259.25,236.11,23.14
48077,"Clay, TX",1116.17,1097.82,18.36
54015,"Clay, WV",343.82,342.4,1.42
13063,"Clayton, GA",144.28,142.62,1.66
19043,"Clayton, IA",792.81,778.81,14
8019,"Clear Creek, CO",396.46,395.45,1.01
42033,"Clearfield, PA",1153.8,1147.32,6.49
16035,"Clearwater, ID",2488.1,2461.4,26.7
27029,"Clearwater, MN",1029.79,994.71,35.08
1029,"Cleburne, AL",561.02,560.21,0.81
5023,"Cleburne, AR",591.91,553.05,38.86
39025,"Clermont, OH",457.67,451.99,5.68
5025,"Cleveland, AR",598.8,597.74,1.06
37045,"Cleveland, NC",468.6,464.63,3.97
40027,"Cleveland, OK",558.34,536.11,22.23
51560,"Clifton Forge, VA",3.1,3.09,0
13065,"Clinch, GA",824.17,809.29,14.88
19045,"Clinton, IA",710.19,694.98,15.21
17027,"Clinton, IL",503.48,474.23,29.25
18023,"Clinton, IN",405.28,405.1,0.18
21053,"Clinton, KY",205.54,197.46,8.09
26037,"Clinton, MI",574.57,571.46,3.12
29049,"Clinton, MO",423.47,418.76,4.71
36019,"Clinton, NY",1117.61,1038.95,78.67
39027,"Clinton, OH",412.29,410.88,1.41
42035,"Clinton, PA",898.09,890.87,7.23
20029,"Cloud, KS",718.47,715.63,2.84
28027,"Coahoma, MS",583.14,554.15,28.99
40029,"Coal, OK",521.3,518.22,3.07
13067,"Cobb, GA",344.51,340.15,4.36
4003,"Cochise, AZ",6218.77,6169.45,49.32
48079,"Cochran, TX",775.31,775.22,0.09
47029,"Cocke, TN",443.15,434.4,8.75
4005,"Coconino, AZ",18661.21,18617.42,43.79
46029,"Codington, SD",717.08,687.67,29.41
1031,"Coffee, AL",680.48,678.99,1.49
13069,"Coffee, GA",602.61,598.9,3.72
47031,"Coffee, TN",434.46,428.84,5.62
20031,"Coffey, KS",654.57,629.75,24.82
48081,"Coke, TX",927.97,898.81,29.17
1033,"Colbert, AL",623.61,594.53,29.08
29051,"Cole, MO",399.08,391.44,7.64
48083,"Coleman, TX",1281.45,1260.2,21.25
17029,"Coles, IL",510.07,508.29,1.78
31037,"Colfax, NE",418.58,413.14,5.44
35007,"Colfax, NM",3768.05,3756.79,11.26
45029,"Colleton, SC",1133.21,1056.36,76.86
12021,"Collier, FL",2304.93,2025.34,279.59
48085,"Collin, TX",885.85,847.56,38.29
48087,"Collingsworth, TX",919.44,918.8,0.64
51570,"Colonial Heights, VA",7.79,7.48,0.31
48089,"Colorado, TX",973.59,962.95,10.64
13071,"Colquitt, GA",556.55,552.27,4.28
5027,"Columbia, AR",766.86,766.11,0.75
12023,"Columbia, FL",801.04,797.05,3.99
13073,"Columbia, GA",307.78,290.01,17.76
36021,"Columbia, NY",648.27,635.73,12.54
41009,"Columbia, OR",688.33,656.72,31.61
42037,"Columbia, PA",489.79,485.55,4.24
53013,"Columbia, WA",873.53,868.81,4.71
55021,"Columbia, WI",795.7,773.79,21.91
39029,"Columbiana, OH",535.18,532.46,2.73
37047,"Columbus, NC",953.6,936.8,16.8
