county-state,POPESTIMATE2019
"San Mateo County, CA",766573
"Santa Barbara County, CA",446499
"Santa Clara County, CA",1927852
"Santa Cruz County, CA",273213
"Shasta County, CA",180080
"Sierra County, CA",3005
"Siskiyou County, CA",43539
"Solano County, CA",447643
"Sonoma County, CA",494336
"Stanislaus County, CA",550660
"Sutter County, CA",96971
"Tehama County, CA",65084
"Trinity County, CA",12285
"Tulare County, CA",466195
"Tuolumne County, CA",54478
"Ventura County, CA",846006
"Yolo County, CA",220500
"Yuba County, CA",78668
"Colorado, CO",5758736
"Adams County, CO",517421
"Alamosa County, CO",16233
"Arapahoe County, CO",656590
"Archuleta County, CO",14029
"Baca County, CO",3581
"Bent County, CO",5577
"Boulder County, CO",326196
"Broomfield County, CO",70465
"Chaffee County, CO",20356
"Cheyenne County, CO",1831
"Clear Creek County, CO",9700
"Conejos County, CO",8205
"Costilla County, CO",3887
"Crowley County, CO",6061
"Custer County, CO",5068
"Delta County, CO",31162
"Denver County, CO",727211
"Dolores County, CO",2055
"Douglas County, CO",351154
"Eagle County, CO",55127
"Elbert County, CO",26729
"El Paso County, CO",720403
"Fremont County, CO",47839
"Garfield County, CO",60061
"Gilpin County, CO",6243
"Grand County, CO",15734
"Gunnison County, CO",17462
"Hinsdale County, CO",820
"Huerfano County, CO",6897
"Jackson County, CO",1392
"Jefferson County, CO",582881
"Kiowa County, CO",1406
"Kit Carson County, CO",7097
"Lake County, CO",8127
"La Plata County, CO",56221
"Larimer County, CO",356899
"Las Animas County, CO",14506
"Lincoln County, CO",5701
"Logan County, CO",22409
"Mesa County, CO",154210
"Mineral County, CO",769
"Moffat County, CO",13283
"Montezuma County, CO",26183
"Montrose County, CO",42758
"Morgan County, CO",29068
"Otero County, CO",18278
"Ouray County, CO",4952
"Park County, CO",18845
"Phillips County, CO",4265
"Pitkin County, CO",17767
"Prowers County, CO",12172
"Pueblo County, CO",168424
"Rio Blanco County, CO",6324
"Rio Grande County, CO",11267
"Routt County, CO",25638
"Saguache County, CO",6824
"San Juan County, CO",728
"San Miguel County, CO",8179
"Sedgwick County, CO",2248
"Summit County, CO",31011
"Teller County, CO",25388
"Washington County, CO",4908
"Weld County, CO",324492
"Yuma County, CO",10019
"Connecticut, CT",3565287
"Fairfield County, CT",943332
"Hartford County, CT",891720
"Litchfield County, CT",180333
"Middlesex County, CT",162436
"New Haven County, CT",854757
"New London County, CT",265206
"Tolland County, CT",150721
"Windham County, CT",116782
"Delaware, DE",973764
"Kent County, DE",180786
"New Castle County, DE",558753
"Sussex County, DE",234225
"District of Columbia, DC",705749
"District of Columbia, DC",705749
"Florida, FL",21477737
"Alachua County, FL",269043
"Baker County, FL",29210
"Bay County, FL",174705
"Bradford County, FL",28201
"Brevard County, FL",601942
"Broward County, FL",1952778
"Calhoun County, FL",14105
"Charlotte County, FL",188910
