county-state,POPESTIMATE2019
"Green County, KY",10941
"Greenup County, KY",35098
"Hancock County, KY",8722
"Hardin County, KY",110958
"Harlan County, KY",26010
"Harrison County, KY",18886
"Hart County, KY",19035
"Henderson County, KY",45210
"Henry County, KY",16126
"Hickman County, KY",4380
"Hopkins County, KY",44686
"Jackson County, KY",13329
"Jefferson County, KY",766757
"Jessamine County, KY",54115
"Johnson County, KY",22188
"Kenton County, KY",166998
"Knott County, KY",14806
"Knox County, KY",31145
"Larue County, KY",14398
"Laurel County, KY",60813
"Lawrence County, KY",15317
"Lee County, KY",7403
"Leslie County, KY",9877
"Letcher County, KY",21553
"Lewis County, KY",13275
"Lincoln County, KY",24549
"Livingston County, KY",9194
"Logan County, KY",27102
"Lyon County, KY",8210
"McCracken County, KY",65418
"McCreary County, KY",17231
"McLean County, KY",9207
"Madison County, KY",92987
"Magoffin County, KY",12161
"Marion County, KY",19273
"Marshall County, KY",31100
"Martin County, KY",11195
"Mason County, KY",17070
"Meade County, KY",28572
"Menifee County, KY",6489
"Mercer County, KY",21933
"Metcalfe County, KY",10071
"Monroe County, KY",10650
"Montgomery County, KY",28157
"Morgan County, KY",13309
"Muhlenberg County, KY",30622
"Nelson County, KY",46233
"Nicholas County, KY",7269
"Ohio County, KY",23994
"Oldham County, KY",66799
"Owen County, KY",10901
"Owsley County, KY",4415
"Pendleton County, KY",14590
"Perry County, KY",25758
"Pike County, KY",57876
"Powell County, KY",12359
"Pulaski County, KY",64979
"Robertson County, KY",2108
"Rockcastle County, KY",16695
"Rowan County, KY",24460
"Russell County, KY",17923
"Scott County, KY",57004
"Shelby County, KY",49024
"Simpson County, KY",18572
"Spencer County, KY",19351
"Taylor County, KY",25769
"Todd County, KY",12294
"Trigg County, KY",14651
"Trimble County, KY",8471
"Union County, KY",14381
"Warren County, KY",132896
"Washington County, KY",12095
"Wayne County, KY",20333
"Webster County, KY",12942
"Whitley County, KY",36264
"Wolfe County, KY",7157
"Woodford County, KY",26734
"Louisiana, LA",4648794
"Acadia Parish, LA",62045
"Allen Parish, LA",25627
"Ascension Parish, LA",126604
"Assumption Parish, LA",21891
"Avoyelles Parish, LA",40144
"Beauregard Parish, LA",37497
"Bienville Parish, LA",13241
"Bossier Parish, LA",127039
"Caddo Parish, LA",240204
"Calcasieu Parish, LA",203436
"Caldwell Parish, LA",9918
"Cameron Parish, LA",6973
"Catahoula Parish, LA",9494
"Claiborne Parish, LA",15670
"Concordia Parish, LA",19259
"De Soto Parish, LA",27463
"East Baton Rouge Parish, LA",440059
"East Carroll Parish, LA",6861
"East Feliciana Parish, LA",19135
"Evangeline Parish, LA",33395
"Franklin Parish, LA",20015
"Grant Parish, LA",22389
"Iberia Parish, LA",69830
"Iberville Parish, LA",32511
"Jackson Parish, LA",15744
"Jefferson Parish, LA",432493
"Jefferson Davis Parish, LA",31368
"Lafayette Parish, LA",244390
"Lafourche Parish, LA",97614
"LaSalle Parish, LA",14892
"Lincoln Parish, LA",46742
"Livingston Parish, LA",140789
"Madison Parish, LA",10951
"Morehouse Parish, LA",24874
"Natchitoches Parish, LA",38158
"Orleans Parish, LA",390144
"Ouachita Parish, LA",153279
"Plaquemines Parish, LA",23197
"Pointe Coupee Parish, LA",21730
"Rapides Parish, LA",129648
"Red River Parish, LA",8442
"Richland Parish, LA",20122
"Sabine Parish, LA",23884
"St. Bernard Parish, LA",47244
"St. Charles Parish, LA",53100
"St. Helena Parish, LA",10132
"St. James Parish, LA",21096
"St. John the Baptist Parish, LA",42837
"St. Landry Parish, LA",82124
"St. Martin Parish, LA",53431
"St. Mary Parish, LA",49348
"St. Tammany Parish, LA",260419
"Tangipahoa Parish, LA",134758
"Tensas Parish, LA",4334
"Terrebonne Parish, LA",110461
"Union Parish, LA",22108
"Vermilion Parish, LA",59511
"Vernon Parish, LA",47429
"Washington Parish, LA",46194
"Webster Parish, LA",38340
"West Baton Rouge Parish, LA",26465
"West Carroll Parish, LA",10830
"West Feliciana Parish, LA",15568
"Winn Parish, LA",13904
"Maine, ME",1344212
"Androscoggin County, ME",108277
"Aroostook County, ME",67055
"Cumberland County, ME",295003
"Franklin County, ME",30199
"Hancock County, ME",54987
"Kennebec County, ME",122302
"Knox County, ME",39772
"Lincoln County, ME",34634
"Oxford County, ME",57975
"Penobscot County, ME",152148
"Piscataquis County, ME",16785
"Sagadahoc County, ME",35856
"Somerset County, ME",50484
"Waldo County, ME",39715
"Washington County, ME",31379
"York County, ME",207641
"Maryland, MD",6045680
"Allegany County, MD",70416
"Anne Arundel County, MD",579234
"Baltimore County, MD",827370
"Calvert County, MD",92525
"Caroline County, MD",33406
"Carroll County, MD",168447
"Cecil County, MD",102855
"Charles County, MD",163257
"Dorchester County, MD",31929
"Frederick County, MD",259547
"Garrett County, MD",29014
"Harford County, MD",255441
"Howard County, MD",325690
"Kent County, MD",19422
"Montgomery County, MD",1050688
"Prince George's County, MD",909327
"Queen Anne's County, MD",50381
"St. Mary's County, MD",113510
"Somerset County, MD",25616
"Talbot County, MD",37181
"Washington County, MD",151049
"Wicomico County, MD",103609
"Worcester County, MD",52276
"Baltimore city, MD",593490
"Massachusetts, MA",6892503
"Barnstable County, MA",212990
"Berkshire County, MA",124944
"Bristol County, MA",565217
"Dukes County, MA",17332
"Essex County, MA",789034
"Franklin County, MA",70180
"Hampden County, MA",466372
"Hampshire County, MA",160830
"Middlesex County, MA",1611699
"Nantucket County, MA",11399
"Norfolk County, MA",706775
"Plymouth County, MA",521202
"Suffolk County, MA",803907
"Worcester County, MA",830622
"Michigan, MI",9986857
"Alcona County, MI",10405
"Alger County, MI",9108
"Allegan County, MI",118081
"Alpena County, MI",28405
"Antrim County, MI",23324
"Arenac County, MI",14883
"Baraga County, MI",8209
"Barry County, MI",61550
"Bay County, MI",103126
"Benzie County, MI",17766
"Berrien County, MI",153401
"Branch County, MI",43517
"Calhoun County, MI",134159
"Cass County, MI",51787
"Charlevoix County, MI",26143
"Cheboygan County, MI",25276
"Chippewa County, MI",37349
"Clare County, MI",30950
"Clinton County, MI",79595
"Crawford County, MI",14029
"Delta County, MI",35784
"Dickinson County, MI",25239
"Eaton County, MI",110268
"Emmet County, MI",33415
"Genesee County, MI",405813
"Gladwin County, MI",25449
"Gogebic County, MI",13975
"Grand Traverse County, MI",93088
"Gratiot County, MI",40711
"Hillsdale County, MI",45605
"Houghton County, MI",35684
"Huron County, MI",30981
"Ingham County, MI",292406
"Ionia County, MI",64697
"Iosco County, MI",25127
"Iron County, MI",11066
"Isabella County, MI",69872
"Jackson County, MI",158510
"Kalamazoo County, MI",265066
"Kalkaska County, MI",18038
"Kent County, MI",656955
"Keweenaw County, MI",2116
"Lake County, MI",11853
"Lapeer County, MI",87607
"Leelanau County, MI",21761
"Lenawee County, MI",98451
"Livingston County, MI",191995
"Luce County, MI",6229
"Mackinac County, MI",10799
"Macomb County, MI",873972
"Manistee County, MI",24558
"Marquette County, MI",66699
"Mason County, MI",29144
"Mecosta County, MI",43453
"Menominee County, MI",22780
"Midland County, MI",83156
"Missaukee County, MI",15118
"Monroe County, MI",150500
"Montcalm County, MI",63888
"Montmorency County, MI",9328
"Muskegon County, MI",173566
"Newaygo County, MI",48980
"Oakland County, MI",1257584
"Oceana County, MI",26467
"Ogemaw County, MI",20997
"Ontonagon County, MI",5720
"Osceola County, MI",23460
"Oscoda County, MI",8241
"Otsego County, MI",24668
"Ottawa County, MI",291830
"Presque Isle County, MI",12592
"Roscommon County, MI",24019
"Saginaw County, MI",190539
"St. Clair County, MI",159128
"St. Joseph County, MI",60964
"Sanilac County, MI",41170
"Schoolcraft County, MI",8094
"Shiawassee County, MI",68122
"Tuscola County, MI",52245
"Van Buren County, MI",75677
"Washtenaw County, MI",367601
"Wayne County, MI",1749343
"Wexford County, MI",33631
"Minnesota, MN",5639632
"Aitkin County, MN",15886
"Anoka County, MN",356921
"Becker County, MN",34423
"Beltrami County, MN",47188
"Benton County, MN",40889
"Big Stone County, MN",4991
"Blue Earth County, MN",67653
"Brown County, MN",25008
"Carlton County, MN",35871
"Carver County, MN",105089
"Cass County, MN",29779
"Chippewa County, MN",11800
"Chisago County, MN",56579
"Clay County, MN",64222
"Clearwater County, MN",8818
"Cook County, MN",5463
"Cottonwood County, MN",11196
"Crow Wing County, MN",65055
"Dakota County, MN",429021
"Dodge County, MN",20934
"Douglas County, MN",38141
"Faribault County, MN",13653
"Fillmore County, MN",21067
"Freeborn County, MN",30281
"Goodhue County, MN",46340
"Grant County, MN",5972
"Hennepin County, MN",1265843
"Houston County, MN",18600
"Hubbard County, MN",21491
"Isanti County, MN",40596
"Itasca County, MN",45130
"Jackson County, MN",9846
"Kanabec County, MN",16337
"Kandiyohi County, MN",43199
"Kittson County, MN",4298
"Koochiching County, MN",12229
"Lac qui Parle County, MN",6623
"Lake County, MN",10641
"Lake of the Woods County, MN",3740
"Le Sueur County, MN",28887
"Lincoln County, MN",5639
"Lyon County, MN",25474
"McLeod County, MN",35893
"Mahnomen County, MN",5527
"Marshall County, MN",9336
"Martin County, MN",19683
"Meeker County, MN",23222
"Mille Lacs County, MN",26277
"Morrison County, MN",33386
"Mower County, MN",40062
"Murray County, MN",8194
"Nicollet County, MN",34274
"Nobles County, MN",21629
"Norman County, MN",6375
"Olmsted County, MN",158293
"Otter Tail County, MN",58746
"Pennington County, MN",14119
"Pine County, MN",29579
"Pipestone County, MN",9126
"Polk County, MN",31364
"Pope County, MN",11249
"Ramsey County, MN",550321
"Red Lake County, MN",4055
"Redwood County, MN",15170
"Renville County, MN",14548
"Rice County, MN",66972
"Rock County, MN",9315
"Roseau County, MN",15165
"St. Louis County, MN",199070
"Scott County, MN",149013
"Sherburne County, MN",97238
"Sibley County, MN",14865
"Stearns County, MN",161075
"Steele County, MN",36649
"Stevens County, MN",9805
"Swift County, MN",9266
"Todd County, MN",24664
"Traverse County, MN",3259
"Wabasha County, MN",21627
"Wadena County, MN",13682
"Waseca County, MN",18612
"Washington County, MN",262440
"Watonwan County, MN",10897
"Wilkin County, MN",6207
"Winona County, MN",50484
"Wright County, MN",138377
"Yellow Medicine County, MN",9709
"Mississippi, MS",2976149
"Adams County, MS",30693
"Alcorn County, MS",36953
"Amite County, MS",12297
"Attala County, MS",18174
"Benton County, MS",8259
"Bolivar County, MS",30628
"Calhoun County, MS",14361
"Carroll County, MS",9947
"Chickasaw County, MS",17103
"Choctaw County, MS",8210
"Claiborne County, MS",8988
"Clarke County, MS",15541
"Clay County, MS",19316
"Coahoma County, MS",22124
"Copiah County, MS",28065
"Covington County, MS",18636
"DeSoto County, MS",184945
"Forrest County, MS",74897
"Franklin County, MS",7713
"George County, MS",24500
"Greene County, MS",13586
"Grenada County, MS",20758
"Hancock County, MS",47632
"Harrison County, MS",208080
"Hinds County, MS",231840
"Holmes County, MS",17010
"Humphreys County, MS",8064
"Issaquena County, MS",1327
"Itawamba County, MS",23390
"Jackson County, MS",143617
"Jasper County, MS",16383
"Jefferson County, MS",6990
"Jefferson Davis County, MS",11128
"Jones County, MS",68098
"Kemper County, MS",9742
"Lafayette County, MS",54019
"Lamar County, MS",63343
"Lauderdale County, MS",74125
"Lawrence County, MS",12586
"Leake County, MS",22786
"Lee County, MS",85436
"Leflore County, MS",28183
"Lincoln County, MS",34153
"Lowndes County, MS",58595
"Madison County, MS",106272
"Marion County, MS",24573
"Marshall County, MS",35294
"Monroe County, MS",35252
"Montgomery County, MS",9775
"Neshoba County, MS",29118
"Newton County, MS",21018
"Noxubee County, MS",10417
"Oktibbeha County, MS",49587
"Panola County, MS",34192
"Pearl River County, MS",55535
"Perry County, MS",11973
"Pike County, MS",39288
"Pontotoc County, MS",32174
"Prentiss County, MS",25126
"Quitman County, MS",6792
"Rankin County, MS",155271
"Scott County, MS",28124
"Sharkey County, MS",4321
"Simpson County, MS",26658
"Smith County, MS",15916
"Stone County, MS",18336
"Sunflower County, MS",25110
"Tallahatchie County, MS",13809
"Tate County, MS",28321
"Tippah County, MS",22015
"Tishomingo County, MS",19383
"Tunica County, MS",9632
"Union County, MS",28815
"Walthall County, MS",14286
"Warren County, MS",45381
"Washington County, MS",43909
"Wayne County, MS",20183
"Webster County, MS",9689
"Wilkinson County, MS",8630
"Winston County, MS",17955
"Yalobusha County, MS",12108
"Yazoo County, MS",29690
"Missouri, MO",6137428
"Adair County, MO",25343
"Andrew County, MO",17712
"Atchison County, MO",5143
"Audrain County, MO",25388
"Barry County, MO",35789
"Barton County, MO",11754
"Bates County, MO",16172
"Benton County, MO",19443
"Bollinger County, MO",12133
"Boone County, MO",180463
"Buchanan County, MO",87364
"Butler County, MO",42478
"Caldwell County, MO",9020
"Callaway County, MO",44743
"Camden County, MO",46305
"Cape Girardeau County, MO",78871
"Carroll County, MO",8679
"Carter County, MO",5982
"Cass County, MO",105780
"Cedar County, MO",14349
"Chariton County, MO",7426
"Christian County, MO",88595
"Clark County, MO",6797
"Clay County, MO",249948
"Clinton County, MO",20387
"Cole County, MO",76745
"Cooper County, MO",17709
"Crawford County, MO",23920
"Dade County, MO",7561
"Dallas County, MO",16878
"Daviess County, MO",8278
"DeKalb County, MO",12547
"Dent County, MO",15573
"Douglas County, MO",13185
"Dunklin County, MO",29131
"Franklin County, MO",103967
"Gasconade County, MO",14706
"Gentry County, MO",6571
"Greene County, MO",293086
"Grundy County, MO",9850
"Harrison County, MO",8352
"Henry County, MO",21824
"Hickory County, MO",9544
"Holt County, MO",4403
"Howard County, MO",10001
"Howell County, MO",40117
"Iron County, MO",10125
"Jackson County, MO",703011
"Jasper County, MO",121328
"Jefferson County, MO",225081
"Johnson County, MO",54062
"Knox County, MO",3959
"Laclede County, MO",35723
"Lafayette County, MO",32708
"Lawrence County, MO",38355
"Lewis County, MO",9776
"Lincoln County, MO",59013
"Linn County, MO",11920
"Livingston County, MO",15227
"McDonald County, MO",22837
"Macon County, MO",15117
"Madison County, MO",12088
"Maries County, MO",8697
"Marion County, MO",28530
"Mercer County, MO",3617
"Miller County, MO",25619
"Mississippi County, MO",13180
"Moniteau County, MO",16132
"Monroe County, MO",8644
"Montgomery County, MO",11551
"Morgan County, MO",20627
"New Madrid County, MO",17076
"Newton County, MO",58236
"Nodaway County, MO",22092
"Oregon County, MO",10529
"Osage County, MO",13615
"Ozark County, MO",9174
"Pemiscot County, MO",15805
"Perry County, MO",19136
"Pettis County, MO",42339
"Phelps County, MO",44573
"Pike County, MO",18302
"Platte County, MO",104418
"Polk County, MO",32149
"Pulaski County, MO",52607
"Putnam County, MO",4696
"Ralls County, MO",10309
"Randolph County, MO",24748
"Ray County, MO",23018
"Reynolds County, MO",6270
"Ripley County, MO",13288
"St. Charles County, MO",402022
"St. Clair County, MO",9397
"Ste. Genevieve County, MO",17894
"St. Francois County, MO",67215
"St. Louis County, MO",994205
"Saline County, MO",22761
"Schuyler County, MO",4660
"Scotland County, MO",4902
"Scott County, MO",38280
"Shannon County, MO",8166
"Shelby County, MO",5930
"Stoddard County, MO",29025
"Stone County, MO",31952
"Sullivan County, MO",6089
"Taney County, MO",55928
"Texas County, MO",25398
"Vernon County, MO",20563
"Warren County, MO",35649
"Washington County, MO",24730
"Wayne County, MO",12873
"Webster County, MO",39592
"Worth County, MO",2013
"Wright County, MO",18289
"St. Louis city, MO",300576
"Montana, MT",1068778
"Beaverhead County, MT",9453
"Big Horn County, MT",13319
"Blaine County, MT",6681
"Broadwater County, MT",6237
"Carbon County, MT",10725
"Carter County, MT",1252
"Cascade County, MT",81366
"Chouteau County, MT",5635
"Custer County, MT",11402
"Daniels County, MT",1690
"Dawson County, MT",8613
"Deer Lodge County, MT",9140
"Fallon County, MT",2846
"Fergus County, MT",11050
"Flathead County, MT",103806
"Gallatin County, MT",114434
"Garfield County, MT",1258
"Glacier County, MT",13753
"Golden Valley County, MT",821
"Granite County, MT",3379
"Hill County, MT",16484
"Jefferson County, MT",12221
"Judith Basin County, MT",2007
"Lake County, MT",30458
"Lewis and Clark County, MT",69432
"Liberty County, MT",2337
"Lincoln County, MT",19980
"McCone County, MT",1664
"Madison County, MT",8600
"Meagher County, MT",1862
"Mineral County, MT",4397
"Missoula County, MT",119600
"Musselshell County, MT",4633
"Park County, MT",16606
"Petroleum County, MT",487
"Phillips County, MT",3954
"Pondera County, MT",5911
"Powder River County, MT",1682
"Powell County, MT",6890
"Prairie County, MT",1077
"Ravalli County, MT",43806
"Richland County, MT",10803
"Roosevelt County, MT",11004
"Rosebud County, MT",8937
"Sanders County, MT",12113
"Sheridan County, MT",3309
"Silver Bow County, MT",34915
"Stillwater County, MT",9642
"Sweet Grass County, MT",3737
"Teton County, MT",6147
"Toole County, MT",4736
"Treasure County, MT",696
"Valley County, MT",7396
"Wheatland County, MT",2126
"Wibaux County, MT",969
"Yellowstone County, MT",161300
"Nebraska, NE",1934408
"Adams County, NE",31363
"Antelope County, NE",6298
"Arthur County, NE",463
"Banner County, NE",745
"Blaine County, NE",465
"Boone County, NE",5192
"Box Butte County, NE",10783
"Boyd County, NE",1919
"Brown County, NE",2955
"Buffalo County, NE",49659
"Burt County, NE",6459
"Butler County, NE",8016
"Cass County, NE",26248
"Cedar County, NE",8402
"Chase County, NE",3924
"Cherry County, NE",5689
"Cheyenne County, NE",8910
"Clay County, NE",6203
"Colfax County, NE",10709
"Cuming County, NE",8846
"Custer County, NE",10777
"Dakota County, NE",20026
"Dawes County, NE",8589
"Dawson County, NE",23595
"Deuel County, NE",1794
"Dixon County, NE",5636
"Dodge County, NE",36565
"Douglas County, NE",571327
"Dundy County, NE",1693
"Fillmore County, NE",5462
"Franklin County, NE",2979
"Frontier County, NE",2627
"Furnas County, NE",4676
"Gage County, NE",21513
"Garden County, NE",1837
"Garfield County, NE",1969
"Gosper County, NE",1990
"Grant County, NE",623
"Greeley County, NE",2356
"Hall County, NE",61353
"Hamilton County, NE",9324
"Harlan County, NE",3380
"Hayes County, NE",922
"Hitchcock County, NE",2762
"Holt County, NE",10067
"Hooker County, NE",682
"Howard County, NE",6445
"Jefferson County, NE",7046
"Johnson County, NE",5071
"Kearney County, NE",6495
"Keith County, NE",8034
"Keya Paha County, NE",806
"Kimball County, NE",3632
"Knox County, NE",8332
"Lancaster County, NE",319090
"Lincoln County, NE",34914
"Logan County, NE",748
"Loup County, NE",664
"McPherson County, NE",494
"Madison County, NE",35099
"Merrick County, NE",7755
"Morrill County, NE",4642
"Nance County, NE",3519
"Nemaha County, NE",6972
"Nuckolls County, NE",4148
"Otoe County, NE",16012
"Pawnee County, NE",2613
"Perkins County, NE",2891
"Phelps County, NE",9034
"Pierce County, NE",7148
"Platte County, NE",33470
"Polk County, NE",5213
"Red Willow County, NE",10724
"Richardson County, NE",7865
"Rock County, NE",1357
"Saline County, NE",14224
"Sarpy County, NE",187196
"Saunders County, NE",21578
"Scotts Bluff County, NE",35618
"Seward County, NE",17284
"Sheridan County, NE",5246
"Sherman County, NE",3001
"Sioux County, NE",1166
"Stanton County, NE",5920
"Thayer County, NE",5003
"Thomas County, NE",722
"Thurston County, NE",7224
"Valley County, NE",4158
"Washington County, NE",20729
"Wayne County, NE",9385
"Webster County, NE",3487
"Wheeler County, NE",783
"York County, NE",13679
"Nevada, NV",3080156
"Churchill County, NV",24909
"Clark County, NV",2266715
"Douglas County, NV",48905
"Elko County, NV",52778
"Esmeralda County, NV",873
"Eureka County, NV",2029
"Humboldt County, NV",16831
"Lander County, NV",5532
"Lincoln County, NV",5183
"Lyon County, NV",57510
"Mineral County, NV",4505
"Nye County, NV",46523
"Pershing County, NV",6725
"Storey County, NV",4123
"Washoe County, NV",471519
"White Pine County, NV",9580
"Carson City, NV",55916
"New Hampshire, NH",1359711
"Belknap County, NH",61303
"Carroll County, NH",48910
"Cheshire County, NH",76085
"Coos County, NH",31563
"Grafton County, NH",89886
"Hillsborough County, NH",417025
"Merrimack County, NH",151391
"Rockingham County, NH",309769
"Strafford County, NH",130633
"Sullivan County, NH",43146
"New Jersey, NJ",8882190
"Atlantic County, NJ",263670
"Bergen County, NJ",932202
"Burlington County, NJ",445349
"Camden County, NJ",506471
"Cape May County, NJ",92039
"Cumberland County, NJ",149527
"Essex County, NJ",798975
"Gloucester County, NJ",291636
"Hudson County, NJ",672391
"Hunterdon County, NJ",124371
"Mercer County, NJ",367430
"Middlesex County, NJ",825062
"Monmouth County, NJ",618795
"Morris County, NJ",491845
"Ocean County, NJ",607186
"Passaic County, NJ",501826
"Salem County, NJ",62385
"Somerset County, NJ",328934
"Sussex County, NJ",140488
"Union County, NJ",556341
"Warren County, NJ",105267
"New Mexico, NM",2096829
"Bernalillo County, NM",679121
"Catron County, NM",3527
"Chaves County, NM",64615
"Cibola County, NM",26675
"Colfax County, NM",11941
"Curry County, NM",48954
"De Baca County, NM",1748
"Doña Ana County, NM",218195
"Eddy County, NM",58460
"Grant County, NM",26998
"Guadalupe County, NM",4300
"Harding County, NM",625
"Hidalgo County, NM",4198
"Lea County, NM",71070
"Lincoln County, NM",19572
"Los Alamos County, NM",19369
"Luna County, NM",23709
"McKinley County, NM",71367
"Mora County, NM",4521
"Otero County, NM",67490
"Quay County, NM",8253
"Rio Arriba County, NM",38921
"Roosevelt County, NM",18500
"Sandoval County, NM",146748
"San Juan County, NM",123958
"San Miguel County, NM",27277
"Santa Fe County, NM",150358
"Sierra County, NM",10791
"Socorro County, NM",16637
"Taos County, NM",32723
"Torrance County, NM",15461
"Union County, NM",4059
"Valencia County, NM",76688
"New York, NY",19453561
"Albany County, NY",305506
"Allegany County, NY",46091
"Bronx County, NY",1418207
"Broome County, NY",190488
"Cattaraugus County, NY",76117
"Cayuga County, NY",76576
"Chautauqua County, NY",126903
"Chemung County, NY",83456
"Chenango County, NY",47207
"Clinton County, NY",80485
"Columbia County, NY",59461
"Cortland County, NY",47581
"Delaware County, NY",44135
"Dutchess County, NY",294218
"Erie County, NY",918702
"Essex County, NY",36885
"Franklin County, NY",50022
"Fulton County, NY",53383
"Genesee County, NY",57280
"Greene County, NY",47188
"Hamilton County, NY",4416
"Herkimer County, NY",61319
"Jefferson County, NY",109834
"Kings County, NY",2559903
"Lewis County, NY",26296
"Livingston County, NY",62914
"Madison County, NY",70941
"Monroe County, NY",741770
"Montgomery County, NY",49221
"Nassau County, NY",1356924
"New York County, NY",1628706
"Niagara County, NY",209281
"Oneida County, NY",228671
"Onondaga County, NY",460528
"Ontario County, NY",109777
"Orange County, NY",384940
"Orleans County, NY",40352
"Oswego County, NY",117124
"Otsego County, NY",59493
"Putnam County, NY",98320
"Queens County, NY",2253858
"Rensselaer County, NY",158714
"Richmond County, NY",476143
"Rockland County, NY",325789
"St. Lawrence County, NY",107740
"Saratoga County, NY",229863
"Schenectady County, NY",155299
"Schoharie County, NY",30999
"Schuyler County, NY",17807
"Seneca County, NY",34016
"Steuben County, NY",95379
"Suffolk County, NY",1476601
"Sullivan County, NY",75432
"Tioga County, NY",48203
"Tompkins County, NY",102180
"Ulster County, NY",177573
"Warren County, NY",63944
"Washington County, NY",61204
"Wayne County, NY",89918
"Westchester County, NY",967506
"Wyoming County, NY",39859
"Yates County, NY",24913
"North Carolina, NC",10488084
"Alamance County, NC",169509
"Alexander County, NC",37497
"Alleghany County, NC",11137
"Anson County, NC",24446
"Ashe County, NC",27203
"Avery County, NC",17557
"Beaufort County, NC",46994
"Bertie County, NC",18947
"Bladen County, NC",32722
"Brunswick County, NC",142820
"Buncombe County, NC",261191
"Burke County, NC",90485
"Cabarrus County, NC",216453
"Caldwell County, NC",82178
"Camden County, NC",10867
"Carteret County, NC",69473
"Caswell County, NC",22604
"Catawba County, NC",159551
"Chatham County, NC",74470
"Cherokee County, NC",28612
"Chowan County, NC",13943
"Clay County, NC",11231
"Cleveland County, NC",97947
"Columbus County, NC",55508
"Craven County, NC",102139
"Cumberland County, NC",335509
"Currituck County, NC",27763
"Dare County, NC",37009
"Davidson County, NC",167609
"Davie County, NC",42846
"Duplin County, NC",58741
"Durham County, NC",321488
"Edgecombe County, NC",51472
"Forsyth County, NC",382295
"Franklin County, NC",69685
"Gaston County, NC",224529
"Gates County, NC",11562
"Graham County, NC",8441
"Granville County, NC",60443
"Greene County, NC",21069
"Guilford County, NC",537174
"Halifax County, NC",50010
"Harnett County, NC",135976
"Haywood County, NC",62317
"Henderson County, NC",117417
"Hertford County, NC",23677
"Hoke County, NC",55234
"Hyde County, NC",4937
"Iredell County, NC",181806
"Jackson County, NC",43938
"Johnston County, NC",209339
"Jones County, NC",9419
"Lee County, NC",61779
"Lenoir County, NC",55949
"Lincoln County, NC",86111
"McDowell County, NC",45756
"Macon County, NC",35858
"Madison County, NC",21755
"Martin County, NC",22440
"Mecklenburg County, NC",1110356
"Mitchell County, NC",14964
"Montgomery County, NC",27173
"Moore County, NC",100880
"Nash County, NC",94298
"New Hanover County, NC",234473
"Northampton County, NC",19483
"Onslow County, NC",197938
"Orange County, NC",148476
"Pamlico County, NC",12726
"Pasquotank County, NC",39824
"Pender County, NC",63060
"Perquimans County, NC",13463
"Person County, NC",39490
"Pitt County, NC",180742
"Polk County, NC",20724
"Randolph County, NC",143667
"Richmond County, NC",44829
"Robeson County, NC",130625
"Rockingham County, NC",91010
"Rowan County, NC",142088
"Rutherford County, NC",67029
"Sampson County, NC",63531
"Scotland County, NC",34823
"Stanly County, NC",62806
"Stokes County, NC",45591
"Surry County, NC",71783
"Swain County, NC",14271
"Transylvania County, NC",34385
"Tyrrell County, NC",4016
"Union County, NC",239859
"Vance County, NC",44535
"Wake County, NC",1111761
"Warren County, NC",19731
"Washington County, NC",11580
"Watauga County, NC",56177
"Wayne County, NC",123131
"Wilkes County, NC",68412
"Wilson County, NC",81801
"Yadkin County, NC",37667
"Yancey County, NC",18069
"North Dakota, ND",762062
"Adams County, ND",2216
"Barnes County, ND",10415
"Benson County, ND",6832
"Billings County, ND",928
"Bottineau County, ND",6282
"Bowman County, ND",3024
"Burke County, ND",2115
"Burleigh County, ND",95626
"Cass County, ND",181923
"Cavalier County, ND",3762
"Dickey County, ND",4872
"Divide County, ND",2264
"Dunn County, ND",4424
"Eddy County, ND",2287
"Emmons County, ND",3241
"Foster County, ND",3210
"Golden Valley County, ND",1761
"Grand Forks County, ND",69451
"Grant County, ND",2274
"Griggs County, ND",2231
"Hettinger County, ND",2499
"Kidder County, ND",2480
"LaMoure County, ND",4046
"Logan County, ND",1850
"McHenry County, ND",5745
"McIntosh County, ND",2497
"McKenzie County, ND",15024
"McLean County, ND",9450
"Mercer County, ND",8187
"Morton County, ND",31364
"Mountrail County, ND",10545
"Nelson County, ND",2879
"Oliver County, ND",1959
"Pembina County, ND",6801
"Pierce County, ND",3975
"Ramsey County, ND",11519
"Ransom County, ND",5218
"Renville County, ND",2327
"Richland County, ND",16177
"Rolette County, ND",14176
"Sargent County, ND",3898
"Sheridan County, ND",1315
"Sioux County, ND",4230
"Slope County, ND",750
"Stark County, ND",31489
"Steele County, ND",1890
"Stutsman County, ND",20704
"Towner County, ND",2189
"Traill County, ND",8036
"Walsh County, ND",10641
"Ward County, ND",67641
"Wells County, ND",3834
"Williams County, ND",37589
"Ohio, OH",11689100
"Adams County, OH",27698
"Allen County, OH",102351
"Ashland County, OH",53484
"Ashtabula County, OH",97241
"Athens County, OH",65327
"Auglaize County, OH",45656
"Belmont County, OH",67006
"Brown County, OH",43432
"Butler County, OH",383134
"Carroll County, OH",26914
"Champaign County, OH",38885
"Clark County, OH",134083
"Clermont County, OH",206428
"Clinton County, OH",41968
"Columbiana County, OH",101883
"Coshocton County, OH",36600
"Crawford County, OH",41494
"Cuyahoga County, OH",1235072
"Darke County, OH",51113
"Defiance County, OH",38087
"Delaware County, OH",209177
"Erie County, OH",74266
"Fairfield County, OH",157574
"Fayette County, OH",28525
"Franklin County, OH",1316756
"Fulton County, OH",42126
